Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2, C3, C4, C5, C6, C7, C8, C9",0603,10,10u,C96446
"C10, C11, C12, C13, C15, C17, C18, C19, C20, C21",0603,10,100n,C14663
C14,0603,1,1u,C15849
"D1, D2",D_SOD-123,2,SM4007,C64898
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
Q2,SOT-363_SC-70-6,1,MUN5214DW1T1G,C94403
R1,0603,1,2k,C22975
"R10, R11",0603,2,5.1k,C23186
"R12, R13, R14",0603,3,220,C22962
"R15, R2",0603,2,1.2k,C22765
"R3, R6, R8, R9",0603,4,10k,C25804
"R4, R5, R7",0603,3,3.3k,C22978
"U2, U3",SOIC-14_3.9x8.7mm_P1.27mm,2,MCP4922-ESL,C39851
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,C71035
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LY68L6400SLIT,C261881
U6,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,ESP32-PICO-D4,C193707
U8,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
